index,Bacteria;Chloroflexi,Bacteria;Planctomycetota,Archaea;Nanoarchaeota,Bacteria;Patescibacteria,Bacteria;Proteobacteria,Bacteria;Actinobacteriota,Archaea;Aenigmarchaeota,Bacteria;Acidobacteriota,Archaea;Altiarchaeota,Bacteria;Firmicutes,Bacteria;Bdellovibrionota,Bacteria;Dependentiae,Bacteria;Spirochaetota,Bacteria;Margulisbacteria,Bacteria;Myxococcota,Archaea;Halobacterota,Archaea;Crenarchaeota,Bacteria;Latescibacterota,Bacteria;NB1-j,Bacteria;Desulfobacterota,Bacteria;Verrucomicrobiota,Archaea;Iainarchaeota,Bacteria;DTB120,Bacteria;Elusimicrobiota,Eukaryota;SAR,Archaea;Asgardarchaeota,Archaea;Euryarchaeota,Bacteria;CK-2C2-2,Bacteria;Sva0485,Archaea;Thermoplasmatota,Bacteria;Bacteroidota,Bacteria;Marinimicrobia (SAR406 clade),Bacteria;MBNT15,Bacteria;Nitrospinota,Bacteria;Zixibacteria,Bacteria;Nitrospirota,Archaea;Micrarchaeota,Bacteria;LCP-89,Bacteria;Armatimonadota,Bacteria;WOR-1,Bacteria;Gemmatimonadota,Bacteria;Fibrobacterota,Bacteria;Calditrichota,Bacteria;Sumerlaeota,Bacteria;Aerophobota,Bacteria;WS1,Bacteria;NKB15,Bacteria;SAR324 clade(Marine group B),Bacteria;Dadabacteria,Bacteria;BHI80-139,Bacteria;Desantisbacteria,Bacteria;Schekmanbacteria,Archaea;Hadarchaeota,Archaea;Hydrothermarchaeota,Bacteria;Caldatribacteriota,Bacteria;TA06,Bacteria;WS2,Eukaryota;Amorphea,Bacteria;Cyanobacteria,Bacteria;Hydrogenedentes,Bacteria;Cloacimonadota,Bacteria;WPS-2,Bacteria;Modulibacteria,Eukaryota;Archaeplastida,Bacteria;10bav-F6,Bacteria;Methylomirabilota,Bacteria;Deferrisomatota,Bacteria;Fusobacteriota,Bacteria;Fermentibacterota,Bacteria;Entotheonellaeota,Eukaryota;Discoba,Bacteria;Campylobacterota,Bacteria;PAUC34f,Bacteria;Poribacteria,Bacteria;AncK6,Bacteria;GN01,Bacteria;Acetothermia,Bacteria;FCPU426
B01,383,1058,157,274,7755,1317,0,1025,0,39,22,16,0,0,71,0,6841,20,633,49,145,0,0,0,247,13,0,0,0,13,1012,0,0,53,0,137,0,0,39,0,271,7,17,4,0,0,0,7,471,0,0,0,0,0,3,0,0,69,3,53,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
B02,225,507,98,27,3279,228,0,522,0,10,4,0,0,0,25,0,7995,8,336,6,54,0,0,0,9,4,0,0,0,0,259,0,12,65,0,29,0,0,0,0,163,0,16,0,0,0,0,22,106,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
B03,196,360,246,38,2605,119,0,587,0,8,5,0,0,0,172,0,11619,16,370,11,0,3,0,0,13,0,0,0,0,0,206,5,0,83,8,67,0,0,0,0,130,0,5,0,0,0,0,27,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
B04,437,922,636,61,4209,195,0,1051,0,9,5,6,0,0,274,0,14573,22,628,5,88,9,0,0,17,8,0,0,0,26,271,14,0,129,7,95,0,0,0,0,219,0,20,0,0,0,0,84,145,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,467,0,0,0,5,0,0,12,0,0,0,0,0
B05,240,1159,187,26,2929,149,0,778,0,8,0,0,0,0,204,0,10918,26,473,0,20,0,0,7,10,8,0,0,0,0,193,9,0,209,0,96,0,0,2,0,244,3,19,0,0,0,0,131,125,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,532,0,0,0,12,0,0,0,0,0,0,0,0
B06,211,2003,1380,168,2469,188,12,617,3,13,4,15,7,2,196,0,7802,16,383,47,94,0,0,22,7,43,25,0,0,84,223,33,0,244,5,112,0,0,0,0,204,8,28,8,0,0,0,69,105,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,9,0,0,0,0,0,0,0,0
B07,231,2607,4129,694,2667,231,20,399,12,36,10,21,37,0,156,0,5611,47,453,76,93,112,0,16,21,187,53,0,0,267,196,73,0,106,0,74,0,0,0,24,169,8,37,6,6,0,5,82,118,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,399,0,0,0,8,0,0,0,0,0,0,0,0
B08,228,2573,4942,604,2084,150,51,507,7,14,0,22,32,2,109,0,6026,28,269,58,156,94,0,31,7,193,21,0,0,264,220,11,4,212,0,67,4,0,0,65,113,3,26,0,0,0,0,81,108,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,468,0,0,0,21,0,0,7,0,0,0,0,0
B09,606,3235,2950,1247,1922,696,52,487,16,21,20,84,12,0,107,0,1559,80,341,478,198,148,0,34,63,131,6,3,9,144,141,30,6,106,13,87,42,0,4,0,205,6,76,5,8,11,8,142,70,9,0,3,0,15,0,0,0,0,0,7,0,0,0,0,0,508,0,0,0,18,0,5,0,0,0,0,0,0
B10,636,5161,6145,1256,2639,424,174,648,14,34,11,76,55,0,115,0,3556,32,350,260,232,377,0,46,43,561,20,0,0,292,273,96,20,69,51,86,21,0,0,12,201,8,48,7,0,4,33,180,59,0,0,19,9,13,0,0,5,0,0,67,0,0,0,0,0,732,0,0,0,21,0,0,0,0,0,0,0,0
B11,590,6110,5055,881,3164,518,188,708,0,30,26,40,82,3,141,0,2773,62,508,460,190,515,22,20,28,518,30,0,23,441,423,118,0,81,52,208,38,0,0,24,187,14,86,10,13,0,0,250,51,0,0,13,7,31,0,0,0,0,0,0,0,0,12,0,0,781,0,0,0,14,0,0,0,0,0,0,0,0
B12,579,3302,2795,1842,1370,302,117,306,15,39,12,31,141,0,26,5,1247,3,123,376,332,97,82,28,5,3676,95,4,29,214,128,74,46,20,31,228,21,0,0,42,176,0,53,3,0,3,85,153,34,11,0,12,0,851,0,4,0,3,0,12,0,0,10,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0
B13,1513,4577,1693,4564,1789,692,214,509,15,76,29,61,107,0,80,38,1955,66,103,651,406,97,27,18,27,2252,96,0,20,169,166,42,42,37,14,305,16,3,55,15,93,7,19,21,315,34,90,153,68,22,5,100,0,491,0,0,0,0,0,13,0,0,36,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0
B14,694,3888,3667,2913,1526,305,81,360,43,25,20,32,135,0,54,26,1954,14,72,440,273,106,0,14,3,1429,328,0,41,210,175,8,0,10,39,190,6,0,4,36,115,0,50,10,43,9,98,65,33,0,0,30,6,555,0,5,0,0,6,18,0,0,23,0,0,726,0,0,0,0,0,0,0,0,0,0,0,0
B15,1003,3971,2294,5867,2414,240,243,428,37,223,18,107,150,0,58,17,2420,18,118,535,325,225,3,11,95,2557,172,4,41,326,131,32,16,0,49,159,0,0,6,12,83,0,52,22,92,7,154,34,79,0,3,33,5,261,0,0,0,0,0,0,0,3,22,0,0,456,0,0,0,0,0,0,0,0,0,5,0,0
B16,1420,4025,1909,4981,2427,327,140,538,41,154,16,159,164,0,51,62,3667,16,125,862,251,113,241,9,95,3003,82,2,65,291,289,39,58,0,130,292,0,0,20,7,105,5,52,4,296,23,107,104,161,16,0,49,0,98,0,0,15,0,8,14,0,0,18,7,0,341,4,0,0,0,0,0,0,0,0,6,0,0
B17,90,160,49,108,54,12,0,35,0,0,0,0,0,0,0,0,77,0,0,30,0,23,0,0,0,124,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,8,0,14,0,3,0,0,0,0,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
B18,1339,2756,1502,3047,2132,260,106,628,0,213,6,175,140,0,43,121,2218,34,30,613,273,43,47,8,82,1859,60,5,47,155,106,36,33,66,93,154,7,14,25,13,69,2,59,0,394,27,70,26,75,39,0,83,0,233,0,0,0,0,0,0,0,0,53,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0
B19,1100,3274,1152,3198,3146,202,72,501,17,320,0,231,181,0,28,5,5395,8,97,554,255,57,8,23,51,3492,25,0,16,146,39,25,0,0,47,94,10,18,40,0,30,3,3,8,718,12,23,13,94,29,5,28,31,29,27,69,9,65,9,3,0,0,22,0,0,102,0,0,4,0,0,0,0,4,0,3,0,0
B20,828,2944,2280,2377,2384,183,158,648,51,208,4,170,323,0,23,17,3341,3,60,635,252,30,0,0,36,1825,32,5,35,342,93,13,0,6,108,113,10,15,31,0,75,7,36,34,467,0,30,17,59,42,3,38,9,361,43,29,0,4,6,0,0,3,18,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0
B21,1108,3422,1160,1974,1821,120,98,517,29,221,0,153,262,0,12,17,1880,37,21,551,253,19,19,22,39,2818,15,0,33,312,60,84,0,0,139,28,11,0,0,0,34,0,0,0,539,3,0,0,64,33,5,12,56,97,0,27,12,6,0,0,0,0,6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
B22,1739,3490,1406,3041,2465,202,52,642,13,168,0,420,310,0,20,101,4259,16,20,756,312,31,34,13,128,3678,17,0,44,327,252,23,15,15,46,31,4,0,42,0,108,15,32,18,502,13,106,13,64,55,0,0,9,51,7,82,4,31,19,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4
B23,2603,3080,1504,2213,4347,231,90,1473,11,454,8,227,491,0,50,114,5579,64,34,1665,278,59,69,40,178,5317,20,14,187,822,174,99,83,12,94,54,0,29,68,5,119,34,84,0,2219,32,0,23,41,156,0,41,199,77,247,77,9,31,14,0,5,6,0,0,0,29,0,0,12,0,0,0,0,0,0,0,0,0
